,carat,cut,color,clarity,depth,table,price,x,y,z,price/carat
1,0.63,Ideal,D,IF,61.2,53,3832,5.55,5.6,3.41,6082.539683
2,0.65,Ideal,D,VVS1,61.8,57,4022,5.54,5.56,3.43,6187.692308
3,0.91,Premium,E,VVS2,61.1,61,7006,6.24,6.2,3.8,7698.901099
4,0.55,Very Good,F,VS1,60.7,60,1853,5.29,5.32,3.22,3369.090909
5,0.71,Very Good,G,VS2,63.1,56,2462,5.58,5.77,3.58,3467.605634
6,0.35,Ideal,H,IF,61.7,56,921,4.53,4.55,2.8,2631.428571
7,0.9,Good,D,SI1,64.4,60,4117,5.95,6,3.85,4574.444444
8,0.88,Fair,F,SI1,56.6,65,2882,6.39,6.32,3.6,3275
9,1.01,Fair,E,SI1,56.8,61,5185,6.59,6.62,3.75,5133.663366
10,1.51,Good,I,SI1,63.7,58,8464,7.26,7.22,4.61,5605.298013
11,0.39,Good,J,VS1,63.1,56,616,4.62,4.7,2.94,1579.487179
12,1.07,Very Good,E,SI2,61.6,56,4824,6.54,6.6,4.05,4508.411215
13,0.39,Ideal,E,I1,62.8,57,655,4.66,4.61,2.91,1679.487179
14,0.3,Ideal,E,SI1,61.9,57,675,4.33,4.29,2.67,2250
15,1.5,Very Good,G,VS1,61.7,63,12862,7.31,7.24,4.49,8574.666667
16,0.6,Premium,G,SI1,60.8,58,1286,5.44,5.39,3.29,2143.333333
17,0.3,Ideal,F,VS2,60.7,56,605,4.32,4.34,2.63,2016.666667
18,0.33,Ideal,E,SI1,63,54,743,4.42,4.38,2.77,2251.515152
19,1.5,Premium,E,SI2,62.7,59,8316,7.3,7.22,4.55,5544
20,0.5,Good,E,SI1,64,57,1155,5.04,4.99,3.21,2310
21,2.02,Premium,G,SI2,63,59,15014,8.05,7.95,5.03,7432.673267
22,0.41,Premium,G,VS2,61.5,58,827,4.8,4.82,2.96,2017.073171
23,0.41,Ideal,D,VVS2,62.3,57,1295,4.74,4.76,2.96,3158.536585
24,0.53,Very Good,I,VS1,61,57,1393,5.22,5.25,3.19,2628.301887
25,0.59,Ideal,E,VVS1,62,56,2829,5.36,5.38,3.33,4794.915254
26,2.05,Premium,E,SI2,59.7,59,17081,8.27,8.39,4.97,8332.195122
27,0.42,Ideal,G,VVS2,62.4,55,1031,4.79,4.82,3,2454.761905
28,0.54,Ideal,E,VS2,61.8,57,1590,5.23,5.26,3.24,2944.444444
29,0.7,Ideal,G,SI2,61.8,56,1966,5.66,5.6,3.48,2808.571429
30,2.15,Very Good,H,SI2,62.8,58,17065,8.17,8.22,5.15,7937.209302
31,0.71,Ideal,F,SI1,60.9,56,2335,5.79,5.81,3.53,3288.732394
32,0.7,Very Good,E,VS2,60.2,57,2593,5.77,5.82,3.49,3704.285714
33,0.9,Good,J,VS2,62.3,64,3423,6.09,6.17,3.82,3803.333333
34,0.32,Good,E,SI1,63.3,55,524,4.33,4.36,2.75,1637.5
35,0.54,Ideal,E,VS2,61.4,57,1754,5.21,5.25,3.21,3248.148148
36,0.7,Premium,D,VVS2,61.5,60,3210,5.71,5.64,3.49,4585.714286
37,1.39,Very Good,H,VS2,59.5,61,8951,7.27,7.33,4.34,6439.568345
38,1.2,Very Good,F,SI1,63.1,58,5638,6.75,6.68,4.24,4698.333333
39,0.32,Ideal,D,VS2,62.1,56,758,4.39,4.43,2.74,2368.75
40,0.34,Premium,I,SI1,60.4,56,589,4.56,4.54,2.75,1732.352941
41,1.25,Premium,I,VS1,60.4,59,6545,6.94,7.01,4.21,5236
42,0.7,Premium,J,VS1,60.9,58,2005,5.73,5.66,3.47,2864.285714
43,1.13,Very Good,I,SI2,59.1,63,3987,6.85,6.82,4.04,3528.318584
44,0.71,Very Good,J,VS2,62.8,61,1821,5.63,5.71,3.56,2564.788732
45,0.3,Ideal,F,VS2,61.3,55,605,4.3,4.32,2.64,2016.666667
46,0.31,Ideal,F,VVS1,60.7,56,878,4.4,4.37,2.66,2832.258065
47,0.3,Very Good,G,VS2,63.5,55,675,4.25,4.22,2.69,2250
48,2.1,Premium,G,SI2,62.6,56,15175,8.2,8.16,5.12,7226.190476
49,0.26,Premium,E,VS2,60.4,58,580,4.19,4.15,2.52,2230.769231
50,0.3,Premium,D,SI1,62.2,58,709,4.31,4.28,2.67,2363.333333
51,0.32,Ideal,G,VVS1,62.1,54,802,4.4,4.43,2.74,2506.25
52,0.26,Ideal,F,VS1,60.9,57,580,4.13,4.11,2.51,2230.769231
53,0.32,Ideal,D,VVS2,62.2,56,1014,4.41,4.37,2.73,3168.75
54,0.7,Very Good,F,VS2,61.7,60,2744,5.63,5.65,3.48,3920
55,0.32,Ideal,G,VVS2,62.2,55,730,4.41,4.43,2.75,2281.25
56,1.21,Premium,H,VS2,59.3,60,6849,6.93,6.99,4.13,5660.330579
57,0.79,Very Good,D,VS1,58.8,60,3798,6.03,6.08,3.56,4807.594937
58,0.7,Premium,H,SI1,61.3,58,2155,5.71,5.74,3.51,3078.571429
59,1.04,Premium,D,VS2,62,60,6814,6.49,6.45,4.01,6551.923077
60,0.55,Ideal,F,SI1,61.7,56,1718,5.3,5.26,3.25,3123.636364
61,1.51,Very Good,G,VVS2,63.6,57,13500,7.2,7.32,4.62,8940.397351
62,0.39,Ideal,J,SI1,61,56,568,4.71,4.73,2.88,1456.410256
63,2.01,Good,F,SI2,62.9,58,16013,7.89,8.01,5,7966.666667
